,9,11,13,17,20,26,33,39,49.8,3200 Limit
1,482,830,1077,1385,1544,1801,2016,2129,2227,3034
2,482,832,1081,1439,1602,1857,2039,2155,2271,3032
3,482,842,1084,1439,1612,1886,2087,2212,2315,3032
4,482,846,1087,1442,1628,1892,2090,2212,2319,3032
5,482,848,1098,1450,1631,1894,2106,2226,2331,3031
6,482,849,1098,1450,1632,1894,2108,2234,2336,3031
7,482,852,1099,1452,1638,1894,2113,2237,2341,3029
8,482,854,1101,1459,1640,1914,2124,2241,2344,3029
9,482,855,1102,1475,1644,1915,2124,2242,2348,3028
10,482,859,1102,1476,1651,1921,2137,2245,2354,3028
11,482,860,1104,1476,1661,1922,2139,2248,2357,3028
12,482,861,1110,1479,1664,1937,2149,2262,2369,3026
13,482,864,1116,1480,1665,1945,2153,2269,2371,3026
14,481,865,1119,1481,1665,1947,2159,2270,2380,3026
15,481,865,1120,1483,1665,1947,2160,2272,2391,3025
16,481,865,1122,1483,1671,1947,2165,2272,2395,3024
17,481,867,1129,1485,1671,1951,2165,2275,2398,3023
18,480,868,1130,1485,1671,1952,2165,2285,2407,3023
19,480,871,1131,1489,1671,1954,2169,2298,2414,3022
20,480,872,1135,1497,1675,1958,2169,2304,2414,3022
21,480,873,1139,1508,1688,1959,2179,2304,2415,3022
22,478,874,1144,1514,1690,1962,2186,2306,2417,3021
23,477,875,1144,1515,1694,1971,2188,2309,2421,3021
24,477,876,1144,1515,1699,1972,2189,2310,2422,3020
25,477,879,1145,1515,1703,1972,2191,2310,2424,3019
26,477,879,1145,1520,1710,1981,2192,2317,2426,3019
27,477,879,1148,1520,1710,1985,2194,2318,2437,3018
28,477,887,1148,1525,1712,1986,2195,2325,2440,3018
29,476,888,1148,1526,1712,1989,2201,2331,2442,3017
30,476,889,1150,1528,1719,1990,2204,2332,2443,3016
31,476,889,1159,1537,1720,1995,2212,2338,2444,3015
32,475,893,1162,1543,1721,1999,2216,2338,2445,3015
33,475,896,1162,1543,1727,1999,2221,2344,2445,3015
34,474,897,1164,1545,1728,2007,2221,2348,2456,3014
35,474,897,1167,1548,1734,2013,2222,2350,2458,3012
36,474,897,1168,1548,1742,2015,2227,2354,2474,3012
37,474,898,1168,1549,1742,2019,2229,2357,2482,3012
38,474,899,1172,1563,1751,2020,2234,2357,2486,3012
39,474,901,1173,1563,1756,2021,2234,2369,2487,3011
40,474,903,1174,1564,1762,2023,2247,2379,2487,3009
41,474,903,1174,1564,1764,2030,2247,2380,2488,3009
42,474,905,1180,1564,1764,2030,2250,2385,2491,3009
43,474,907,1181,1565,1764,2039,2265,2390,2509,3008
44,474,909,1184,1569,1766,2041,2275,2393,2509,3008
45,474,910,1186,1573,1769,2045,2275,2397,2517,3007
46,474,910,1187,1573,1773,2045,2280,2404,2521,3006
47,474,910,1190,1573,1775,2047,2281,2409,2524,3006
48,474,911,1190,1574,1778,2047,2282,2409,2530,3005
49,474,912,1201,1576,1778,2048,2283,2411,2531,3005
50,474,915,1201,1577,1780,2048,2283,2417,2532,3004
51,473,917,1206,1577,1780,2048,2286,2418,2544,3004
52,473,924,1206,1589,1780,2052,2286,2436,2553,3002
53,473,925,1207,1591,1782,2061,2286,2442,2553,3002
54,473,925,1226,1591,1783,2062,2294,2444,2554,3002
55,473,925,1231,1598,1787,2074,2299,2444,2563,3001
56,473,926,1231,1599,1798,2081,2309,2451,2580,3001
57,473,927,1236,1600,1805,2082,2309,2456,2584,2999
58,473,939,1236,1602,1810,2086,2314,2456,2584,2998
59,473,941,1236,1606,1818,2103,2329,2463,2589,2998
60,473,941,1237,1616,1829,2143,2359,2474,2609,2998
61,473,945,1241,1636,1834,2149,2391,2535,2634,2998
62,473,949,1241,1643,1868,2151,2391,2541,2669,2997
63,473,955,1253,1677,1872,2161,2425,2546,2698,2996
64,473,959,1261,1681,1888,2181,2425,2602,2762,2995
65,473,981,1289,1720,1888,2227,2440,2615,2786,2995
66,473,1023,1354,1743,1973,2244,2495,2650,2821,2995
67,473,1057,1363,1754,2001,2300,2548,2715,2895,2993
68,473,1070,1431,1823,2012,2391,2655,2866,2992,2993
